birthtime,lifetime,ticket
0.068424858,0.397631548,1
0.122803546,0.298912428,1
0.100606196,0.611535616,1
0.051325925,0.413949005,1
0.053072993,0.383229788,1
0.078732245,0.403077699,1
0.184164554,0.247309983,1
0.115634851,0.756449766,1
0.062846303,0.658364952,1
0.100154974,0.818993293,1
0.271761,0.352616072,1
0.129216015,0.282256633,1
0.117624089,0.823135808,1
0.098465927,0.521286123,1
0.067690268,0.346599832,1
0.149889499,0.679370075,1
0.123782091,0.489949711,1
0.086472124,0.375412047,1
0.114785857,0.524954729,1
0.107147068,0.366120189,1
0.061860453,0.433714975,1
0.089072816,0.466874905,1
0.101482995,0.544013731,1
0.148889035,0.637736112,1
0.087791994,0.303629115,1
0.095043711,0.435478635,1
0.165845022,0.621773198,1
0.08449962,0.570782341,1
0.068348609,0.340807594,1
0.069101736,0.450553313,1
0.311528087,0.118917078,1
0.129007742,0.472222999,1
0.139809683,0.48092775,1
0.081939541,0.345936991,1
0.162942857,0.030936047,2
0.129574031,0.024355859,2
0.115581818,0.006847508,2
0.129795223,0.028552577,2
0.135571331,0.078654394,2
0.61396718,0.011950374,2
0.052989244,0.0138404,2
0.097257555,0.064140886,2
0.03342038,0.01725186,2
0.145625189,0.034511,2
0.322249919,0.036493063,2
0.037193313,0.007732186,2
0.129973724,0.040840477,2
0.050063644,0.004471112,2
0.183303073,0.036278293,2
0.04433319,0.017235577,2
0.139394641,0.007497758,2
0.151481822,0.405259773,1
0.113012776,0.397889987,1
0.209500268,0.663191423,1
0.307581961,0.783345759,1
0.45234105,1.076883346,1
0.29658401,0.898058295,1
0.147244737,0.534475163,1
0.372837842,0.820545971,1
0.33993116,0.421433002,1
0.3956213,0.574253023,1
0.543753564,0.878160775,1
0.309389859,0.992827147,1
0.286332458,1.283715636,1
0.169604629,1.011606485,1
0.413018316,0.605168492,1
0.140180826,0.473852396,1
0.295839816,0.281841487,1
0.204171434,0.888207301,1
0.1520648,0.319753766,1
0.305755615,1.302350521,1
0.239253893,0.465713307,1
0.299621642,1.525681436,1
0.302048624,1.035076559,1
0.184494674,0.405803382,1
0.247464001,0.884755552,1
0.110158518,0.25113152,1
0.092316389,0.216241479,1
0.733289778,0.486194789,1
0.185825333,0.464975074,1
0.823419452,0.744657159,1
0.100329906,0.280752748,1
0.497004449,0.91954428,1
0.121498436,0.563705832,1
0.183408424,0.46145542,1
0.13106741,0.093809456,2
0.186038762,0.064687163,2
0.050541032,0.005752418,2
0.134170145,0.115733042,2
0.286698371,0.110057443,2
0.061993361,0.032429785,2
0.288791716,0.11796248,2
0.387611002,0.062248468,2
0.382715523,0.034696996,2
0.055339247,0.032764658,2
0.122933537,0.013194159,2
0.235860959,0.055524036,2
0.232323185,0.125207826,2
0.362003595,0.080329567,2
0.178233936,0.018543363,2
0.038704403,0.012362588,2
0.827774763,0.036820233,2
0.084633023,0.006714635,2
0.167063698,0.027161852,2
0.13469854,0.02659671,2
0.382310122,0.090713352,2
0.206800818,0.10087949,2
0.005931614,0.000697774,2
0.485448956,0.056098461,2
0.085311882,0.021699719,2
0.123710133,0.053740807,2
0.131778941,0.088058114,2
0.284737378,0.035504073,2
0.267350227,0.031280786,2
0.107242055,0.078871794,2
0.544444978,0.0707618,2
0.149441481,0.066428438,2
0.25981462,0.00439617,2
0.062041909,0.006474145,2
0.389686823,0.093181819,2
0.216885433,0.068154499,2
0.400533199,0.033217847,2
0.012776131,0.011183472,2
0.982530892,0.076877534,2
0.11735329,0.083623618,2
0.143594325,0.052408084,2
0.223370865,0.026402846,2
0.15810658,0.464785978,1
0.11954502,0.251778357,1
0.060318232,0.164316446,1
0.837101221,0.320490837,1
0.309620202,0.345849454,1
0.399642438,0.794941932,1
0.18073079,0.305081487,1
0.170908719,0.307787389,1
0.232037634,0.400534421,1
0.16936703,0.429313883,1
0.220365331,0.445898071,1
0.216028288,0.694176957,1
0.156582132,0.678087458,1
0.304285616,0.701749951,1
0.223854184,1.33172822,1
0.162838057,0.650460586,1
0.517356753,0.445755661,1
0.129950836,0.87916176,1
0.236328319,0.426961645,1
0.164322764,0.459406763,1
0.050875068,0.129735529,1
0.186688438,0.636402771,1
0.444549531,0.965211302,1
0.1545683,0.311864391,1
0.108786568,0.317852482,1
0.153994069,0.649780944,1
0.219425395,0.661726043,1
0.199195087,0.392230153,1
0.126014456,0.361006573,1
0.246299565,0.361382365,1
0.117341474,0.576076791,1
0.221671134,0.532096595,1
0.291338801,0.682947934,1
0.210215837,0.974379867,1
0.12684451,0.71708937,1
0.071648493,0.077621624,2
0.089709736,0.049431734,2
0.10287255,0.03283146,2
0.049891703,0.008236345,2
0.058954198,0.006526995,2
0.139365226,0.006734088,2
0.168772906,0.771046728,2
0.318590015,1.256129295,2
0.021035168,0.017308474,2
0.120568871,0.021416083,2
0.187447369,0.050219849,2
0.141470671,0.019758135,2
0.369493246,0.040833592,2
0.274816126,0.051934481,2
0.410965502,0.025556117,2
0.149744689,0.02026318,2
0.169084474,0.022640318,2
0.096157014,0.037241206,2
0.201027781,0.025563329,2
0.776729345,0.059469879,2
0.136203706,0.04419072,2
0.098102167,0.029102951,2
0.434407324,0.029950231,2
0.256129652,0.637846261,2
0.284353942,0.102290273,2
0.093981087,0.036095634,2
0.279594511,1.041701823,2
0.026155539,0.029591851,2
0.24519816,0.102436185,2
0.030383591,0.005152941,2
0.187996507,0.062824786,2
0.141677171,0.047748983,2
0.342744112,0.04701668,2
0.234536037,0.019599959,2
0.100072585,0.034510471,2
0.184802204,0.025921702,2
0.124231152,0.02204635,2
0.201870501,0.437062919,2
0.124769367,0.025212802,2
0.40130946,0.050641,2
0.096353486,0.016939618,2
0.114145525,0.018638171,2
0.099034183,0.15345294,1
0.228528932,0.226161197,1
0.112347528,0.394193545,1
0.107126646,0.390220113,1
0.436927438,0.398863196,1
0.198115826,0.355339706,1
0.198287815,0.305316716,1
0.05021397,0.123263963,1
0.133233681,0.147931829,1
0.167870194,0.378864616,1
0.150740072,0.451654091,1
0.076859668,0.298369035,1
0.092670627,0.258768551,1
0.146116465,0.349418461,1
0.146129742,0.264091954,1
0.09559042,0.173665337,1
0.128488213,0.032281041,2
0.146009922,0.079865113,2
0.381349593,0.047758341,2
0.182059944,0.017205596,2
0.35939467,0.074582398,2
0.349954545,0.095296085,2
0.281029999,0.023647547,2
0.076058157,0.029524177,2
0.037214726,0.032646857,2
0.091273531,0.03605777,2
0.068837374,0.028445758,2
0.290580541,0.066919088,2
0.120328277,0.022022665,2
0.334908664,0.081459612,2
0.129492104,0.020864308,2
0.213972926,0.00896208,2
0.20006749,0.450289816,1
0.113799267,0.323029377,1
0.191544294,0.415259302,1
0.287166059,0.461510301,1
0.454753757,0.18160069,1
0.098018199,0.46734193,1
0.293956488,0.486198515,1
0.186675131,0.302348405,1
0.250240505,0.179836839,1
0.117130376,0.24878227,1
0.150395855,0.018625006,2
0.158227697,0.096977457,2
0.055570636,0.006326836,2
